licenseid,licensenumber
130727,INVIMA 2018 DM - 0002278 - R1
130728,INVIMA 2008 DM - 0002453
130733,INVIMA 2008 DM - 0002817
130766,INVIMA 2020 DM - 0005683 - R1
130767,INVIMA 2020 DM - 0005696 - R1
130768,INVIMA 2020 DM - 0005831 - R1
130772,INVIMA 2010 DM - 0006047
130783,INVIMA 2021 DM - 0000808 - R2
130794,INVIMA 2022 DM - 0007603 - R1
130796,INVIMA 2011 DM - 0007689
130798,INVIMA 2021 DM - 0007750 - R1
130803,INVIMA 2011 DM - 0007987
130808,INVIMA 2021 DM - 0008207 - R1
130809,INVIMA 2022 DM - 0008220 - R1
130811,INVIMA 2011 DM - 0008266
130814,INVIMA 2022 DM - 0008279 - R1
130822,INVIMA 2022 DM - 0001287 - R2
130823,INVIMA 2012 DM - 0001298 - R1
130836,INVIMA 2012 DM - 0009172
130842,INVIMA 2013 DM - 0002052 - R1
130862,INVIMA 2014 DM - 0011307
130866,INVIMA 2015 DM - 0003086 - R1
130872,INVIMA 2015 DM - 0003457 - R1
130873,INVIMA 2015 DM - 0003602 - R1
130875,INVIMA 2015 DM - 000771 - R3
130897,INVIMA 2016 DM - 0000512 - R2
130907,INVIMA 2017 RD - 0000050 - R1
130916,
147348,
148618,INVIMA 2018DM-0017844
148684,INVIMA 2018DM-0002061-R1
154473,INVIMA 2020 DM - 0021524
166682,INVIMA 2021 DM - 0023744
168478,INVIMA 2021 DM - 0024450
168684,INVIMA 2021 EBC - 0024258
168979,INVIMA 2021 DM - 0024757
169442,INVIMA 2022 DM - 0024953
172776,INVIMA 2022 DM - 0025851
181654,
181789,INVIMA 2024DM-0010182-R1
182644,2014EBC-0011800
185515,INVIMA 2019EBC-0004876-R1
185716,INVIMA 2024 DM - 0029595
190335,INVIMA 2025 EBC - 0030676
130743,INVIMA 2018 DM - 0003014 - R1
130699,INVIMA 2018 DM - 0000847 - R3
130774,INVIMA 2020 DM - 0006099 - R1
130856,INVIMA 2024 DM - 0002770 - R2
130807,INVIMA 2022 DM - 0008124 - R1
130826,INVIMA 2021 DM - 0008445 - R1
130819,INVIMA 2022 DM - 0001042 - R2
179051,INVIMA 2023 DM - 0027648
130775,INVIMA 2021 DM - 0006719 - R1
